"question","option1","option2","option3","option4","correctIndex"
"What does CPU stand for?","Central Processing Unit","Computer Personal Unit","Central Peripheral Unit","Central Print Unit","1"
"Which part of the computer is considered the brain?","Motherboard","CPU","RAM","GPU","2"
"What does RAM stand for?","Random Access Memory","Read Access Memory","Run Access Memory","Rapid Access Memory","1"
"Which of these is an input device?","Monitor","Keyboard","Printer","Speaker","2"
"Which of these is an output device?","Mouse","Keyboard","Monitor","Scanner","3"
"What is the binary representation of the number 5?","101","110","111","100","1"
"What type of software is an operating system?","System Software","Application Software","Utility Software","Malware","1"
"Which of the following is NOT a programming language?","Python","HTML","Java","C++","2"
"What does GUI stand for?","Graphical User Interface","General User Interface","Graphical Utility Interface","General Utility Interaction","1"
"Which one of these is volatile memory?","ROM","Hard Disk","RAM","SSD","3"
"Which company developed Windows OS?","Apple","Microsoft","IBM","Google","2"
"Which of the following is used for storing data permanently?","RAM","Cache","Hard Disk","Register","3"
"What does URL stand for?","Uniform Resource Locator","Universal Resource Link","Uniform Retrieval Locator","Universal Retrieval Link","1"
"Which protocol is used for secure communication over the internet?","HTTP","FTP","HTTPS","SMTP","3"
"What is the smallest unit of data in a computer?","Byte","Bit","Nibble","Word","2"
"Which of these is an example of an operating system?","MS Word","Windows","Chrome","Photoshop","2"
"Which device connects a computer to a network?","Monitor","Modem","Printer","Keyboard","2"
"What does IP stand for in networking?","Internet Provider","Internet Protocol","Internal Program","Integrated Process","2"
"Which of these is an example of cloud storage?","Dropbox","Hard Disk","USB Drive","CD-ROM","1"
"What is the function of ALU in a CPU?","Store Data","Perform Arithmetic and Logic Operations","Control Data Flow","Manage Memory","2"
